feat,weight
大阪,-0.5152404965486547
駐車場,-0.44545328859766
神戸,-0.4045262900882044
札幌,-0.3702760919530043
nan,-0.34435904173953136
名古屋,-0.32019678576472266
車,-0.3189639251684119
定休,-0.29949271364344454
出店,-0.29063188705027393
の,-0.28532621013942033
福岡,-0.2827574902162954
090,-0.27817533129787436
やん,-0.2672780189515488
釣り,-0.25843707854482684
やろ,-0.2502651863905612
京都,-0.242809198936392
おら,-0.23740892090611437
来店,-0.22060132736356963
郡,-0.21126248528526576
庭,-0.19703158930396347
問い合わせ,-0.19299034112279445
梅田,-0.19196904676154047
横浜,-0.18627091853699262
当店,-0.18519185707396152
来ら,-0.1847606980948051
🎵,-0.1823169930131705
広島,-0.1774044020629796
･･･,-0.1714443494939204
在住,-0.1677561343938509
阪急,-0.1648962961921016
教室,-0.16125837915059332
ID,-0.16085039330924608
ごちそうさま,-0.1596921271188578
ほんま,-0.15619591668508898
ねん,-0.15594567844662627
マルシェ,-0.15421410542705538
畑,-0.1534250258906644
ＬＩＮＥ,-0.14927383887558748
植え,-0.14857485531398534
製作,-0.1474357800345843
熊本,-0.1443047977767609
地下鉄,-0.14253589643965026
フェイスブック,-0.1419631443713242
休み,-0.1415852469608545
仙台,-0.13670864978358688
市,-0.13624913689984303
出張,-0.13365960760986334
申込,-0.13335640189182338
丁目,-0.13182478047439214
岐阜,-0.1313584187472091
